Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,EOS-USD,ETC-USD,ETH-USD,GAS-USD,LINK-USD,LTC-USD,REP-USD,TRX-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2018-01-19,0.650498,1769.619995,14.9406,11607.400391,0.007871,11.1845,31.7043,1039.099976,54.7243,0.812905,192.964005,77.579903,0.080499,,0.506232,364.621002,1.55205
2018-01-20,0.70751,2032.119995,16.1903,12899.200195,0.008448,15.5187,35.009102,1155.150024,59.902901,1.2193,211.018005,96.402,0.085201,,0.534677,383.789001,1.57862
2018-01-21,0.613163,1776.640015,14.0683,11600.099609,0.007131,13.436,30.3221,1049.579956,49.9002,0.887828,190.421005,87.824402,0.071186,,0.464117,345.07901,1.38004
2018-01-22,0.570458,1621.920044,13.0146,10931.400391,0.006734,13.6581,29.264601,1003.26001,46.9324,0.802858,180.007996,84.757797,0.071412,,0.486338,315.89801,1.35735
2018-01-23,0.56307,1621.459961,13.0935,10868.400391,0.006673,12.9713,28.366501,986.229004,44.802799,0.801917,177.807007,88.245003,0.068572,,0.486185,308.460999,1.33707
2018-01-24,0.622208,1639.130005,13.6287,11359.400391,0.007083,13.8341,29.604099,1058.780029,49.1642,0.792863,179.987,89.643501,0.070421,,0.567014,317.399994,1.35715
2018-01-25,0.637495,1642.119995,13.2284,11259.400391,0.007667,14.3146,29.194201,1056.030029,49.3592,0.760437,180.272003,88.239502,0.068766,,0.608253,317.102997,1.31223
2018-01-26,0.623382,1603.900024,13.2182,11171.400391,0.007237,14.3449,28.795099,1055.170044,49.614101,0.709853,176.733994,84.0765,0.06663,,0.633916,323.684998,1.21727
2018-01-27,0.616833,1628.630005,13.253,11440.700195,0.007373,14.2745,29.4935,1107.069946,49.9188,0.780675,180.886002,83.678299,0.068422,,0.613061,321.355011,1.21911
2018-01-28,0.670286,1746.25,13.5402,11786.299805,0.007465,15.0205,32.9006,1246.01001,51.567402,0.760601,193.865005,85.134102,0.065495,,0.634421,332.166992,1.3996
2018-01-29,0.623204,1657.140015,12.7645,11296.400391,0.006967,14.0089,31.714899,1182.359985,69.809402,0.697712,181.664001,79.451302,0.064001,,0.589283,316.627991,1.32397
2018-01-30,0.531913,1470.550049,11.2507,10106.299805,0.006024,11.5648,27.133699,1071.130005,60.581699,0.596778,165.276001,68.164597,0.053761,,0.489648,274.015991,1.13856
2018-01-31,0.519315,1486.890015,11.145,10221.099609,0.00601,12.2046,28.7572,1118.310059,57.397499,0.620146,163.350998,68.3424,0.054454,,0.539797,272.889008,1.16239
2018-02-01,0.421672,1274.349976,9.51584,9170.540039,0.005029,10.2099,24.969999,1036.790039,50.986,0.520347,142.296997,65.019897,0.046227,,0.456455,240.964996,0.96253
2018-02-02,0.390534,1191.140015,9.65229,8830.75,0.004475,9.78534,23.0728,915.784973,46.490501,0.494574,131.378998,58.4035,0.040799,,0.405075,235.630005,0.884784
2018-02-03,0.438836,1272.5,9.74968,9174.910156,0.005164,9.83994,24.196699,964.018982,51.0112,0.518558,160.25,61.001099,0.044472,,0.430056,251.587997,0.924043
2018-02-04,0.379303,1165.380005,8.45864,8277.009766,0.004399,8.60566,21.037399,834.682007,42.258999,0.434371,148.024994,51.083302,0.037933,,0.377231,221.046005,0.815703
2018-02-05,0.327371,887.413025,6.70503,6955.27002,0.003533,7.05755,16.5268,697.950989,31.0035,0.341506,125.330002,42.802799,0.030161,,0.331192,179.487,0.691799
2018-02-06,0.369753,974.525024,8.28885,7754.0,0.004361,8.34023,19.3885,793.122009,40.906399,0.425248,142.990997,47.695599,0.036478,,0.370811,212.289001,0.776393
2018-02-07,0.340447,957.960022,8.09501,7621.299805,0.004297,7.61401,18.157499,757.067993,37.388699,0.376771,138.203003,47.374199,0.032746,,0.342125,207.274994,0.723895
2018-02-08,0.356584,1284.560059,8.5955,8265.589844,0.004566,8.51483,21.793501,817.807007,41.431702,0.41108,149.466003,51.998001,0.036725,,0.363565,247.223999,0.805263
2018-02-09,0.391602,1312.109985,9.73046,8736.980469,0.005,9.65337,25.997999,883.86499,43.156502,0.435194,163.949997,57.566399,0.047968,,0.401068,260.433014,0.954428
2018-02-10,0.405872,1257.310059,9.25597,8621.900391,0.004989,9.10061,24.515499,860.414978,40.192001,0.419874,155.593002,55.029301,0.048699,,0.406856,250.029999,1.07074
2018-02-11,0.369769,1217.640015,8.70491,8129.970215,0.004956,8.41451,24.129,814.659973,38.3577,0.416157,148.990005,49.214199,0.042401,,0.370005,229.485001,1.00416
2018-02-12,0.384315,1283.910034,9.32247,8926.570313,0.005472,9.18069,29.8815,868.70697,38.7766,0.490282,161.565994,54.1311,0.046116,,0.395649,247.567993,1.08101
2018-02-13,0.373314,1231.97998,8.98678,8598.30957,0.005638,9.21318,33.9613,845.257996,37.902699,0.570759,159.554001,49.885601,0.043356,,0.410614,234.688995,1.02741
2018-02-14,0.396908,1362.27002,10.4006,9494.629883,0.00673,9.96617,35.041801,923.560974,43.0424,0.568253,213.358994,52.793301,0.045936,,0.453888,276.661987,1.14162
2018-02-15,0.409368,1375.810059,10.9311,10166.400391,0.007347,10.1682,34.531799,936.976013,44.8633,0.565251,225.425995,54.5522,0.046496,,0.453556,303.251007,1.14686
2018-02-16,0.40381,1552.199951,11.2016,10233.900391,0.007034,10.0186,35.034,944.210022,46.992802,0.639628,230.123993,54.440601,0.052449,,0.455446,296.47699,1.13803
2018-02-17,0.419883,1551.390015,11.6893,11112.700195,0.007049,10.1537,34.9865,974.11499,48.699402,0.672487,229.464996,55.269501,0.054914,,0.479075,325.665009,1.20498
2018-02-18,0.385618,1487.459961,10.7024,10551.799805,0.006424,9.37809,34.880001,923.921021,45.368198,0.761761,215.735992,54.141701,0.049606,,0.450399,300.118011,1.12046
2018-02-19,0.391472,1534.77002,11.0757,11225.299805,0.006697,9.68348,39.293999,943.86499,47.765099,0.774362,223.057007,54.2673,0.051542,,0.452932,316.493988,1.14442
2018-02-20,0.378779,1418.72998,9.90451,11403.700195,0.007094,9.27744,38.469799,895.370972,43.309299,0.699926,232.850998,50.641701,0.046861,,0.402289,304.395996,1.08946
2018-02-21,0.364441,1308.459961,9.38079,10690.400391,0.006581,8.7606,36.633099,849.971008,41.011299,0.653669,213.352005,47.0135,0.04458,,0.396765,322.606995,1.01539
2018-02-22,0.337871,1219.48999,8.90403,10005.0,0.006259,8.09236,32.806499,812.844971,37.687599,0.601923,195.307999,43.540798,0.040674,,0.366447,282.76001,0.941788
2018-02-23,0.345258,1270.709961,9.69211,10301.099609,0.006648,8.58217,38.039799,864.189026,38.912102,0.674791,209.309006,44.5173,0.042875,,0.381985,285.708008,0.998855
2018-02-24,0.322966,1193.27002,9.14191,9813.070313,0.006324,8.19444,38.842701,840.515015,37.320801,0.650958,209.421997,43.362499,0.040929,,0.355163,273.790009,0.954402
